Coding,Message
Information,"Sadly its not that we chase them away from here and they go there its that is a problem that is growing and its appearing everywhere at once. We do have to create a coalition between community members, NGO and government. The RMP is willing to do some operations and inspections over there is you can determine time so we can get there and catch while they are doing it would be great."
Community,It has been destroyed sorry
Community,We received over 300 submissions this year in 8 categories!  Thank you so much for your constant support!
Action,Click on the link and find out how you could have the chance of winning a week of diving at Anthony's Key Resort
Action,"The calendar is available in our ecostore and at shops around the island. If you need them delivered somewhere around the world, please email us at info@roatanmarinepark.net"
Community,"Our meeting this past Wednesday with diveshop owners and managers was great.  The diveshops had an open forum to express any concerns and cares.\n\nThank You Ocean Connections, Native Sons, Bananarama, Coconut  Tree, Splash Inn, Tylls, Enomis, AKR, Tranquil Seas, West End Divers and Scuba Roatan for coming out and supporting!  \n\nWe took many things to heart and are improving our communications via FB and facetoface updates\nWe will be creating a new table top display to make bracelet sales easier.\nWe are looking into getting a 'fun video' made... to make it easier to inform guests and divers on the protected area.\n\nThere were many other suggestions and we appreciate all of them... please know that all suggestions are taken to heart and are being taken into consideration! \n\nTHANKS again for the support!"
Community,Awesome that Briansweet is one of the team!! POP for life! :) 
Information,Happy Hunter! 
Information,"The RMP and BICA will be working on a 5 year national project funded by Kfw entitled ""Conservation of marine resources in Central America"""
Community,Today is a great day! We now welcome two more locals into the world of PADI professionals!! Congratulations Patrick Ebanks and Oscar Maradiaga on becoming PADI Divemasters!
Community,Anyone cooking lion fish tonight?
Community,"Thank you Jackson for your quote in this nice article published by the Toronto Star :) \nhttp://www.thestar.com/life/travel/2015/04/17/roatan-honduras-floating-in-a-colourful-world.html?referrer=https%3A%2F%2Fwww.facebook.com%2F \n\n\u201cRoatan diving is so great because the reef is so very close (to shore) and it\u2019s been protected by an amazing marine park, so it\u2019s healthy and full of life,\u201d says Jackson, a native Honduran, who, with his Canadian wife, Amanda Holder, operates Scuba Roatan (www.scubaroatanhonduras.com )."
Community,They sure are :)
Community,"would like to say a huge thank you to all those that attended, donated, participated and enjoyed our 5th birthday party on Saturday. Speacial thanks to BananaRama for hosting the party. We will be discussing the party more in the next newsletter"
Action,We are accepting new members all year and you can stop by the office for materials. Ask for Christi :-) 
Action,"We have our bags for sale at the Eco-store. Unfortunately the supermarkets have started giving out plastic again. The municipality has yet to decide on sanctions for using plastic. The fight continues!  I will be coming your way  to check on mangroves on Thursday, would you like me to bring you a couple? \n~Christi"
Community,Thank you for being concerned and reporting the crime... We could not have investigated and got the vessel to leave without the help of citizens like you... The boat has now left the Bay Islands and the Roat\xe1n Marine Park has involved all the authorities necessary to keep them out...
Action,"It\u2019s that time of year again for the RMP underwater photo competition. You are invited to send 6 photos which can fall within any of the 6 categories. They must be taken by you, here on Roatan and underwater. Please attach a location, name and category for each photo submitted. The deadline is July 15th and all submitted photos will be available for viewing on facebook. The Best Find category will be judged by \u201cyou\u201d on facebook with the most votes winning that group. All other categories will be judged by independent adjudicators and the winners will appear in the 2014 RMP calendar."
Information,en esta foto vemos 7 langostas donde 2 de ellas son de talla menor a la legal.
Community,And we will deliver them!
Community,Being a conservationist is dangerous work! Thank you for taking the risk Jairo!
Information,"These are all the pictures we were able to take as we were so busy! If you have any please post them to our page or tag us in them! It was just a good time, we should have better photos to prove it! :)"
Information,Tip #7 is particularly important ;)
Information,Good Morning! Here's to better connections :)
Community,"The RMP office and eco store have a new sign displaying all of our Business Members and our Gold and Silver Individual members. We would like to say a huge thank you to all our supporters and if you or your business would like to support our cause, please contact us at info@roatanmarinepark.net"
